node_id,state,district,log_pop,density,literacy_pct,worker_pct,confirmed,cases_per_100k,n_neighbours,risk_tier
0,Andaman and Nicobar,Andaman Islands,,,,,0,,0,
1,Andaman and Nicobar,Nicobar Islands,,,,,0,,0,
2,Andhra Pradesh,Adilabad,14.824,171.1,54.1,48.3,360,13.1,6,low
3,Andhra Pradesh,Anantapur,15.222,212.3,56.6,49.9,21173,518.8,7,high
4,Andhra Pradesh,Chittoor,15.244,275.2,63.9,46.3,14306,342.7,7,high
5,Andhra Pradesh,Cuddapah,,,,,0,,5,
6,Andhra Pradesh,East Godavari,15.455,478.9,63.8,40.6,27580,535.1,5,high
7,Andhra Pradesh,Guntur,15.402,427.9,60.6,48.7,19419,397.3,4,high
8,Andhra Pradesh,Hyderabad,15.188,22179.0,73.3,35.8,41449,1051.1,1,high
9,Andhra Pradesh,Karimnagar,15.144,317.7,58.4,49.7,2019,53.5,6,medium
10,Andhra Pradesh,Khammam,14.844,174.1,58.3,50.4,794,28.4,7,low
11,Andhra Pradesh,Krishna,15.323,523.8,66.6,45.4,9042,200.2,4,high
12,Andhra Pradesh,Kurnool,15.215,228.1,52.5,50.1,23348,576.0,6,high
13,Andhra Pradesh,Mahbubnagar,15.215,221.0,47.9,51.4,861,21.2,7,low
14,Andhra Pradesh,Medak,14.925,311.3,54.0,47.5,660,21.8,7,low
15,Andhra Pradesh,Nalgonda,15.065,247.9,57.4,49.9,1217,34.9,7,low
16,Andhra Pradesh,Nellore,15.186,300.3,70.5,42.9,6897,175.2,4,high
17,Andhra Pradesh,Nizamabad,14.752,322.9,54.5,49.4,1215,47.6,5,medium
18,Andhra Pradesh,Prakasam,15.039,191.0,56.1,50.1,7256,213.6,5,high
19,Andhra Pradesh,Rangareddi,15.483,702.4,66.8,41.5,6361,120.1,5,high
20,Andhra Pradesh,Srikakulam,14.81,431.3,55.3,47.7,9636,356.5,4,high
21,Andhra Pradesh,Vishakhapatnam,15.272,377.3,59.9,44.0,16682,388.8,4,high
22,Andhra Pradesh,Vizianagaram,14.668,409.6,52.8,49.4,7468,318.5,4,high
23,Andhra Pradesh,Warangal,15.072,274.7,58.8,48.6,0,0.0,5,low
24,Andhra Pradesh,West Godavari,15.186,507.4,67.4,45.0,15786,401.0,3,high
25,Arunachal Pradesh,Changlang,11.906,30.1,49.4,42.5,269,181.5,3,high
26,Arunachal Pradesh,East Kameng,11.273,19.3,48.9,40.3,57,72.4,4,medium
27,Arunachal Pradesh,East Siang,11.505,27.5,63.1,40.5,114,114.9,5,high
28,Arunachal Pradesh,Kurung Kumey,11.43,16.1,39.8,41.3,0,0.0,5,low
29,Arunachal Pradesh,Lohit,11.889,14.1,57.0,41.8,55,37.7,3,medium
30,Arunachal Pradesh,Lower Dibang Valley,10.898,9.7,58.9,41.3,22,40.7,6,medium
31,Arunachal Pradesh,Lower Subansiri,11.327,22.0,65.1,36.4,39,47.0,6,medium
32,Arunachal Pradesh,Papum Pare,12.081,50.1,68.6,37.2,910,515.4,5,high
33,Arunachal Pradesh,Tawang,10.819,23.0,52.2,57.1,50,100.0,1,high
34,Arunachal Pradesh,Tirap,11.626,53.0,42.8,44.8,63,56.3,5,medium
35,Arunachal Pradesh,Upper Dibang Valley,8.988,1.1,55.4,44.4,0,0.0,2,low
36,Arunachal Pradesh,Upper Siang,10.472,5.0,51.5,50.0,28,79.3,4,medium
37,Arunachal Pradesh,Upper Subansiri,11.332,13.1,54.3,40.0,4,4.8,3,low
38,Arunachal Pradesh,West Kameng,11.338,11.4,57.8,50.6,57,67.9,5,medium
39,Arunachal Pradesh,West Siang,11.629,14.4,57.7,43.8,40,35.6,5,medium
40,Assam,Barpeta,14.342,524.6,53.0,33.2,825,48.7,4,medium
41,Assam,Bongaigaon,13.513,321.3,58.8,34.6,719,97.3,4,high
42,Assam,Cachar,14.367,460.5,67.6,35.0,1878,108.1,9,high
43,Assam,Darrang,13.741,260.9,52.5,35.0,1308,140.9,5,high
44,Assam,Dhemaji,13.439,271.2,61.7,46.2,286,41.7,7,medium
45,Assam,Dhuburi,14.483,706.5,47.3,34.4,1163,59.7,6,medium
46,Assam,Dibrugarh,14.098,391.9,66.7,42.3,2187,164.9,6,high
47,Assam,Goalpara,13.824,531.6,55.9,36.0,453,44.9,5,medium
48,Assam,Golaghat,13.88,303.1,67.7,45.0,1749,163.9,8,high
49,Assam,Hailakandi,13.399,495.4,61.8,32.5,1006,152.6,4,high
50,Assam,Jorhat,13.904,385.9,72.8,45.7,2155,197.3,6,high
51,Assam,Kamrup,14.233,350.7,65.6,41.4,1843,121.4,8,high
52,Assam,Karbi Anglong,13.771,92.0,58.3,40.1,400,41.8,8,medium
53,Assam,Karimganj,14.021,680.2,64.7,32.5,612,49.8,4,medium
54,Assam,Kokrajhar,13.696,271.4,55.2,38.5,408,46.0,4,medium
55,Assam,Lakhimpur,13.857,353.9,65.6,41.3,666,63.9,7,medium
56,Assam,Marigaon,13.772,617.7,56.4,36.7,419,43.8,6,medium
57,Assam,Nagaon,14.854,709.8,60.6,34.7,2580,91.4,5,high
58,Assam,Nalbari,13.556,342.3,68.9,34.7,704,91.2,3,high
59,Assam,North Cachar Hills,,,,,0,,6,
60,Assam,Sibsagar,13.956,438.4,70.7,42.2,334,29.0,6,low
61,Assam,Sonitpur,14.47,364.8,57.6,40.0,1487,77.3,8,medium
62,Assam,Tinsukia,14.099,351.0,60.1,42.0,1881,141.6,7,high
63,Bihar,Araria,14.849,1000.0,42.5,38.1,874,31.1,4,low
64,Bihar,Aurangabad,15.124,1130.3,67.6,42.6,15218,411.2,4,high
65,Bihar,Banka,14.526,659.7,47.4,37.9,868,42.7,6,medium
66,Bihar,Begusarai,14.904,1536.2,52.1,31.6,2273,76.5,5,medium
67,Bihar,Bhabua,13.84,306.7,34.3,50.3,183,17.9,5,low
68,Bihar,Bhagalpur,14.927,1189.5,51.8,32.4,3138,103.3,8,high
69,Bihar,Bhojpur,14.819,1152.6,58.6,30.1,2000,73.3,6,medium
70,Bihar,Buxar,14.35,1000.4,58.0,31.5,1427,83.6,5,medium
71,Bihar,Darbhanga,15.186,1724.8,46.1,31.1,1131,28.7,5,low
72,Bihar,Gaya,15.295,886.7,52.3,37.9,2607,59.4,7,medium
73,Bihar,Gopalganj,14.756,1258.7,54.0,28.4,1228,47.9,7,medium
74,Bihar,Jamui,14.381,572.4,48.8,41.3,1022,58.1,7,medium
75,Bihar,Jehanabad,13.934,702.8,55.0,32.5,1131,100.5,6,high
76,Bihar,Katihar,14.938,1005.6,41.7,33.0,1953,63.6,5,medium
77,Bihar,Khagaria,14.326,1120.7,46.1,33.6,1466,87.9,6,high
78,Bihar,Kishanganj,14.34,876.4,44.1,31.3,896,53.0,4,medium
79,Bihar,Lakhisarai,13.816,750.9,50.7,32.6,891,89.0,6,high
80,Bihar,Madhepura,14.51,1091.2,41.7,38.8,906,45.3,6,medium
81,Bihar,Madhubani,15.317,1307.5,48.0,36.5,1576,35.1,4,medium
82,Bihar,Munger,14.129,1001.0,58.6,31.2,1352,98.8,6,high
83,Bihar,Muzaffarpur,15.384,1511.1,52.3,32.2,3007,62.6,8,medium
84,Bihar,Nalanda,14.872,1234.4,52.8,36.3,2716,94.4,6,high
85,Bihar,Nawada,14.613,895.0,49.2,36.8,1558,70.2,7,medium
86,Bihar,Pashchim Champaran,15.185,754.8,44.7,37.6,0,0.0,4,low
87,Bihar,Patna,15.58,1825.2,59.3,32.2,11592,198.5,8,high
88,Bihar,Purba Champaran,15.445,1281.9,44.7,34.1,0,0.0,5,low
89,Bihar,Purnia,14.999,1008.3,40.8,35.0,1650,50.5,6,medium
90,Bihar,Rohtas,14.901,767.1,60.8,31.2,2610,88.2,8,high
91,Bihar,Saharsa,14.458,1128.3,42.4,34.2,1075,56.6,6,medium
92,Bihar,Samastipur,15.265,1470.5,50.3,31.5,1740,40.8,7,medium
93,Bihar,Saran,15.19,1497.7,54.6,26.3,2155,54.5,7,medium
94,Bihar,Sheikhpura,13.363,1056.0,51.7,35.3,805,126.5,4,high
95,Bihar,Sheohar,13.394,1145.0,43.2,33.0,371,56.5,3,medium
96,Bihar,Sitamarhi,15.046,1670.0,42.0,32.6,954,27.9,5,low
97,Bihar,Siwan,15.019,1500.6,58.0,28.0,1867,56.1,4,medium
98,Bihar,Supaul,14.617,936.5,46.4,39.4,1238,55.5,4,medium
99,Bihar,Vaishali,15.067,1744.4,55.1,30.3,1982,56.7,4,medium
100,Chandigarh,Chandigarh,13.869,8967.7,76.3,38.3,1327,125.7,3,high
101,Chhattisgarh,Bastar,14.161,94.7,46.1,51.4,282,20.0,7,low
102,Chhattisgarh,Bilaspur,14.795,320.1,59.9,45.2,134,5.0,9,low
103,Chhattisgarh,Dantewada,,,,,0,,6,
104,Chhattisgarh,Dhamtari,13.592,197.2,68.4,50.4,46,5.8,5,low
105,Chhattisgarh,Durg,15.023,388.9,68.9,44.8,977,29.2,6,low
106,Chhattisgarh,Janjgir-Champa,14.298,418.9,63.0,52.3,513,31.7,4,low
107,Chhattisgarh,Jashpur,13.655,146.5,58.2,57.2,258,30.3,5,low
108,Chhattisgarh,Kanker,,,,,0,,5,
109,Chhattisgarh,Kawardha,14.078,308.6,78.4,46.8,252,19.4,5,low
110,Chhattisgarh,Korba,14.003,182.9,62.1,43.2,428,35.5,5,medium
111,Chhattisgarh,Koriya,13.398,99.5,60.4,46.6,138,20.9,6,low
112,Chhattisgarh,Mahasamund,13.848,217.7,61.8,48.3,193,18.7,4,low
113,Chhattisgarh,Raigarh,14.784,372.4,73.6,40.7,288,10.9,9,low
114,Chhattisgarh,Raipur,15.218,326.6,64.7,43.3,3673,90.4,9,high
115,Chhattisgarh,Raj Nandgaon,14.245,190.9,65.6,52.1,817,53.2,7,medium
116,Chhattisgarh,Surguja,14.674,150.0,50.3,49.0,244,10.3,9,low
117,Dadra and Nagar Haveli,Dadra and Nagar Haveli,12.748,700.5,64.9,45.7,620,180.4,2,high
118,Daman and Diu,Daman,12.161,12234.5,78.6,55.2,680,355.7,1,high
119,Daman and Diu,Junagadh,14.825,5082.4,67.2,41.0,1078,39.3,1,medium
120,Delhi,Delhi,,,,,0,,7,
121,Goa,North Goa,13.615,479.9,81.1,40.1,1251,152.9,4,high
122,Goa,South Goa,13.37,322.2,78.4,39.0,2235,348.9,2,high
123,Gujarat,Ahmadabad,15.792,933.8,75.3,36.0,27434,380.3,6,high
124,Gujarat,Amreli,14.23,205.7,65.7,43.4,570,37.6,3,medium
125,Gujarat,Anand,14.554,727.7,74.1,40.4,538,25.7,4,low
126,Gujarat,Banas Kantha,14.954,294.6,54.6,40.0,769,24.6,6,low
127,Gujarat,Bharuch,14.254,285.9,72.1,40.4,983,63.4,3,medium
128,Gujarat,Bhavnagar,14.873,343.4,65.5,39.9,1689,58.6,5,medium
129,Gujarat,Dahod,,,,,696,,5,
130,Gujarat,Gandhinagar,14.146,809.2,74.0,38.4,1653,118.8,4,high
131,Gujarat,Jamnagar,14.586,192.3,64.7,39.2,947,43.8,3,medium
132,Gujarat,Junagadh,14.825,333.9,67.2,41.0,1078,39.3,4,medium
133,Gujarat,Kachchh,14.554,49.6,59.9,37.1,0,0.0,7,low
134,Gujarat,Kheda,14.648,578.7,72.2,40.6,688,29.9,6,low
135,Gujarat,Mahesana,14.526,464.6,73.8,39.9,0,0.0,6,low
136,Gujarat,Narmada,13.288,230.3,62.7,49.9,394,66.7,4,medium
137,Gujarat,Navsari,14.1,610.3,75.4,44.5,626,47.1,4,medium
138,Gujarat,Panch Mahals,14.687,657.0,60.3,45.9,601,25.1,5,low
139,Gujarat,Patan,14.111,224.1,62.4,41.3,651,48.4,4,medium
140,Gujarat,Porbandar,13.28,253.7,67.2,39.5,115,19.6,3,low
141,Gujarat,Rajkot,15.152,341.9,71.6,38.9,2328,61.2,7,medium
142,Gujarat,Sabar Kantha,14.703,327.3,65.0,44.7,504,20.8,8,low
143,Gujarat,Surat,15.621,807.9,75.2,42.0,14546,239.2,6,high
144,Gujarat,Surendranagar,14.379,168.3,62.3,41.2,878,50.0,6,medium
145,Gujarat,The Dangs,12.338,133.6,61.7,51.8,0,0.0,4,low
146,Gujarat,Vadodara,15.242,539.5,69.5,40.7,5279,126.7,8,high
147,Gujarat,Valsad,14.349,559.0,68.6,43.6,717,42.0,5,medium
148,Haryana,Ambala,13.936,645.9,72.5,33.0,1888,167.3,5,high
149,Haryana,Bhiwani,14.307,353.7,65.5,38.1,823,50.4,7,medium
150,Haryana,Faridabad,14.409,839.4,70.3,32.0,9671,534.4,5,high
151,Haryana,Fatehabad,13.756,393.8,59.2,39.2,396,42.0,6,medium
152,Haryana,Gurgaon,14.231,551.5,73.4,36.0,0,0.0,7,low
153,Haryana,Hisar,14.372,419.7,63.9,39.7,1065,61.1,5,medium
154,Haryana,Jhajjar,13.773,455.2,70.5,34.1,887,92.5,7,high
155,Haryana,Jind,14.104,489.8,62.4,39.2,335,25.1,9,low
156,Haryana,Kaithal,13.887,469.2,60.2,34.8,316,29.4,4,low
157,Haryana,Karnal,14.225,584.4,65.0,34.3,1189,79.0,6,medium
158,Haryana,Kurukshetra,13.78,527.2,67.1,34.9,598,62.0,6,medium
159,Haryana,Mahendragarh,13.734,477.4,68.4,36.7,872,94.6,7,high
160,Haryana,Panchkula,13.238,763.4,72.2,37.7,816,145.4,6,high
161,Haryana,Panipat,14.002,987.5,65.3,34.2,1398,116.0,5,high
162,Haryana,Rewari,13.711,720.5,70.7,37.5,1997,221.8,4,high
163,Haryana,Rohtak,13.875,631.5,70.4,32.6,1800,169.6,5,high
164,Haryana,Sirsa,14.074,307.2,60.4,38.8,492,38.0,5,medium
165,Haryana,Sonepat,14.187,657.2,68.8,36.1,3096,213.5,6,high
166,Haryana,Yamuna Nagar,14.01,933.6,68.6,32.1,401,33.0,4,low
167,Himachal Pradesh,Bilaspur,14.795,2292.7,59.9,45.2,134,5.0,5,low
168,Himachal Pradesh,Chamba,13.16,80.7,62.4,56.6,137,26.4,6,low
169,Himachal Pradesh,Hamirpur,13.915,988.4,59.2,40.2,346,31.3,4,low
170,Himachal Pradesh,Kangra,14.228,265.7,76.3,44.7,500,33.1,8,low
171,Himachal Pradesh,Kinnaur,11.34,13.1,72.2,66.9,46,54.7,4,medium
172,Himachal Pradesh,Kullu,12.99,79.9,70.3,61.4,86,19.6,5,low
173,Himachal Pradesh,Lahul and Spiti,10.36,2.3,69.2,61.1,4,12.7,7,low
174,Himachal Pradesh,Mandi,13.815,254.2,72.4,57.3,227,22.7,6,low
175,Himachal Pradesh,Shimla,13.61,159.1,75.3,52.9,188,23.1,7,low
176,Himachal Pradesh,Sirmaur,13.18,189.3,68.4,52.9,364,68.7,7,medium
177,Himachal Pradesh,Solan,13.271,297.7,73.9,51.5,758,130.6,6,high
178,Himachal Pradesh,Una,13.164,340.2,76.7,41.3,264,50.7,5,medium
179,Jammu and Kashmir,Anantnag (Kashmir South),,,,,0,,9,
180,Jammu and Kashmir,Bagdam,13.533,603.8,44.5,28.5,0,0.0,5,low
181,Jammu and Kashmir,Baramula (Kashmir North),,,,,0,,6,
182,Jammu and Kashmir,Doda,12.924,38.7,53.4,37.1,299,72.9,5,medium
183,Jammu and Kashmir,Jammu,14.241,421.7,74.3,33.2,1412,92.3,3,high
184,Jammu and Kashmir,Kargil,11.855,9.8,61.2,36.8,854,606.5,6,high
185,Jammu and Kashmir,Kathua,13.332,306.7,63.1,32.5,565,91.7,4,high
186,Jammu and Kashmir,Kupwara (Muzaffarabad),,,,,0,,1,
187,Jammu and Kashmir,Ladakh (Leh),,,,,0,,2,
188,Jammu and Kashmir,Pulwama,13.236,540.5,52.5,33.6,1743,311.0,4,high
189,Jammu and Kashmir,Punch,13.075,156.5,54.9,33.8,252,52.8,5,medium
190,Jammu and Kashmir,Rajauri,13.373,200.6,56.7,45.3,751,116.9,4,high
191,Jammu and Kashmir,Srinagar,14.028,738.0,60.5,32.9,5699,460.8,5,high
192,Jammu and Kashmir,Udhampur,13.227,120.5,58.1,43.9,595,107.2,6,high
193,Jharkhand,Bokaro,14.539,720.1,61.8,33.2,382,18.5,4,low
194,Jharkhand,Chatra,13.858,278.1,48.9,38.1,384,36.8,5,medium
195,Jharkhand,Deoghar,14.216,612.7,53.2,37.0,579,38.8,5,medium
196,Jharkhand,Dhanbad,14.803,1291.4,64.2,31.5,825,30.7,5,low
197,Jharkhand,Dumka,14.094,350.8,50.9,47.3,181,13.7,6,low
198,Jharkhand,Garhwa,14.095,325.0,49.4,43.2,534,40.4,5,medium
199,Jharkhand,Giridih,14.71,490.6,51.3,42.4,640,26.2,8,low
200,Jharkhand,Godda,14.088,587.1,46.0,42.0,561,42.7,5,medium
201,Jharkhand,Gumla,13.84,191.5,54.6,47.6,400,39.0,6,medium
202,Jharkhand,Hazaribag,14.366,282.1,58.4,37.7,808,46.6,8,medium
203,Jharkhand,Jamtara,13.581,439.3,53.9,41.3,148,18.7,6,low
204,Jharkhand,Koderma,13.482,543.1,54.5,35.9,682,95.2,3,high
205,Jharkhand,Latehar,13.497,170.9,48.2,43.1,384,52.8,7,medium
206,Jharkhand,Lohardaga,13.043,308.6,56.2,47.9,282,61.1,3,medium
207,Jharkhand,Pakur,13.711,497.3,39.2,44.9,314,34.9,5,low
208,Jharkhand,Palamu,14.478,436.4,52.8,36.8,613,31.6,6,low
209,Jharkhand,Pashchim Singhbhum,14.223,208.1,48.4,46.3,0,0.0,6,low
210,Jharkhand,Purba Singhbhum,14.646,642.5,65.7,36.5,0,0.0,4,low
211,Jharkhand,Ranchi,14.885,381.4,65.6,39.2,2991,102.6,9,high
212,Jharkhand,Sahibganj,13.956,524.2,42.0,42.6,275,23.9,6,low
213,Jharkhand,Saraikela Kharsawan,13.879,402.3,57.6,40.4,354,33.2,5,low
214,Jharkhand,Simdega,13.304,158.5,57.3,48.1,580,96.7,5,high
215,Karnataka,Bagalkot,14.452,288.6,58.9,43.3,2614,138.3,5,high
216,Karnataka,Bangalore Rural,13.806,170.7,69.5,46.4,0,0.0,6,low
217,Karnataka,Bangalore Urban,13.806,455.0,69.5,46.4,0,0.0,2,low
218,Karnataka,Belgaum,15.38,358.9,63.9,44.1,0,0.0,9,low
219,Karnataka,Bellary,14.713,291.3,58.0,45.5,0,0.0,8,low
220,Karnataka,Bidar,14.348,313.9,61.2,41.2,2712,159.2,6,high
221,Karnataka,Bijapur,14.594,208.0,57.3,42.6,88,4.0,6,low
222,Karnataka,Chamrajnagar,13.836,180.7,55.4,47.2,985,96.5,8,high
223,Karnataka,Chikmagalur,13.945,158.4,71.9,49.7,1306,114.8,7,high
224,Karnataka,Chitradurga,14.322,197.2,65.5,51.6,885,53.3,5,medium
225,Karnataka,Dakshin Kannad,14.553,458.5,79.7,47.7,6710,321.1,5,high
226,Karnataka,Davanagere,14.481,294.6,67.3,45.0,3040,156.3,5,high
227,Karnataka,Dharwad,14.429,433.8,70.5,42.5,5246,284.0,4,high
228,Karnataka,Gadag,13.878,230.2,65.8,46.6,1966,184.7,6,high
229,Karnataka,Gulbarga,14.758,158.4,55.6,42.4,0,0.0,8,low
230,Karnataka,Hassan,14.39,261.7,69.0,50.9,3037,171.0,6,high
231,Karnataka,Haveri,14.284,333.6,67.9,45.7,1580,98.9,6,high
232,Karnataka,Kodagu,13.226,135.5,74.5,50.3,601,108.4,6,high
233,Karnataka,Kolar,14.245,187.5,66.1,46.7,1657,107.8,5,high
234,Karnataka,Koppal,14.145,250.5,58.2,47.1,1878,135.1,4,high
235,Karnataka,Mandya,14.406,366.8,63.7,48.3,2292,126.9,5,high
236,Karnataka,Mysore,14.914,476.9,65.4,43.8,0,0.0,5,low
237,Karnataka,Raichur,14.472,228.8,50.8,46.8,3125,162.0,7,high
238,Karnataka,Shimoga,14.377,226.8,72.1,44.5,2438,139.1,5,high
239,Karnataka,Tumkur,14.801,253.1,67.7,50.6,2133,79.6,7,medium
240,Karnataka,Udupi,13.979,302.0,78.7,43.6,5359,455.2,4,high
241,Karnataka,Uttar Kannand,14.178,139.8,75.3,42.3,2479,172.5,7,high
242,Kerala,Alappuzha,14.571,1709.8,87.1,37.8,2263,106.4,4,high
243,Kerala,Ernakulam,15.004,1459.4,87.0,38.1,2486,75.7,4,medium
244,Kerala,Idukki,13.919,222.3,83.2,46.6,982,88.6,9,high
245,Kerala,Kannur,14.741,909.9,84.8,32.7,1574,62.4,5,medium
246,Kerala,Kasaragod,14.084,670.4,79.4,35.4,2347,179.5,3,high
247,Kerala,Kollam,14.785,1096.4,85.0,34.6,1998,75.8,4,medium
248,Kerala,Kottayam,14.496,939.5,88.6,37.3,1463,74.1,4,medium
249,Kerala,Kozhikode,14.942,1358.8,84.7,30.7,1952,63.2,3,medium
250,Kerala,Malappuram,15.23,1175.1,80.5,25.8,2838,69.0,5,medium
251,Kerala,Palakkad,14.849,628.7,79.7,37.1,2082,74.1,4,medium
252,Kerala,Pattanamtitta,13.996,454.7,88.7,32.8,1690,141.1,5,high
253,Kerala,Thiruvananthapuram,15.01,1616.6,84.4,37.3,6068,183.8,3,high
254,Kerala,Thrissur,14.954,1061.8,85.8,35.1,1908,61.1,5,medium
